PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
0.25,0.312,0.438,0.125,0.312,0.312,0.0,0.062,0.312,0.25,0.438,0.312,0.25,0.438,0.062,0.0,0.438,0.25,0.312,0.312,0.438,0.25,0.188,0.625,0.375,1.507,-0.254,0.059,-0.395,0.241
0.25,0.125,0.625,0.188,0.438,0.25,0.0,0.125,0.125,0.25,0.625,0.438,0.25,0.25,0.0,0.125,0.688,0.25,0.062,0.312,0.25,0.438,0.125,0.312,0.688,0.207,0.251,0.033,0.619,0.043
0.125,0.188,0.688,0.125,0.5,0.25,0.0,0.125,0.188,0.125,0.688,0.562,0.188,0.188,0.0,0.25,0.375,0.438,0.188,0.375,0.312,0.312,0.062,0.438,0.562,-0.453,-0.064,0.177,-0.033,-0.465
0.188,0.062,0.75,0.062,0.688,0.375,0.062,0.25,0.062,0.188,0.75,0.625,0.25,0.125,0.0,0.125,0.5,0.312,0.188,0.5,0.125,0.312,0.125,0.312,0.688,-1.147,0.647,-0.212,1.069,-0.195
0.188,0.188,0.625,0.188,0.375,0.375,0.125,0.062,0.188,0.188,0.625,0.375,0.375,0.312,0.0,0.0,0.562,0.188,0.25,0.25,0.625,0.25,0.125,0.438,0.562,0.746,0.111,-0.174,-0.376,0.378
0.0,0.438,0.562,0.312,0.188,0.188,0.0,0.125,0.438,0.0,0.562,0.375,0.062,0.562,0.125,0.062,0.188,0.5,0.312,0.25,0.5,0.25,0.062,0.562,0.438,0.949,-0.071,0.362,-1.581,-0.328
0.188,0.062,0.75,0.438,0.312,0.188,0.0,0.25,0.062,0.188,0.75,0.5,0.188,0.25,0.125,0.188,0.312,0.562,0.125,0.5,0.125,0.312,0.375,0.5,0.5,0.202,-0.183,0.482,0.086,-0.686
0.188,0.25,0.562,0.188,0.312,0.188,0.0,0.125,0.25,0.188,0.562,0.375,0.25,0.312,0.0,0.125,0.5,0.312,0.188,0.312,0.5,0.188,0.062,0.312,0.688,0.406,0.316,-0.034,-0.395,-0.242
0.062,0.188,0.75,0.312,0.375,0.188,0.0,0.188,0.188,0.062,0.75,0.438,0.125,0.312,0.125,0.188,0.312,0.438,0.25,0.312,0.25,0.438,0.188,0.5,0.5,-0.089,-0.021,0.454,-0.402,-0.51
0.125,0.125,0.75,0.25,0.438,0.375,0.0,0.312,0.125,0.125,0.75,0.438,0.188,0.125,0.0,0.0,0.312,0.562,0.125,0.438,0.188,0.375,0.0,0.25,0.75,-1.301,0.442,-0.208,-0.186,-0.329
0.25,0.25,0.5,0.062,0.25,0.25,0.0,0.062,0.25,0.25,0.5,0.188,0.438,0.312,0.0,0.0,0.312,0.25,0.438,0.25,0.562,0.188,0.062,0.5,0.5,1.429,0.367,0.011,-0.4,-0.211
0.0,0.062,0.938,0.5,0.375,0.188,0.0,0.312,0.062,0.0,0.938,0.5,0.062,0.188,0.062,0.312,0.125,0.625,0.25,0.438,0.125,0.438,0.312,0.5,0.5,-0.786,-0.044,1.005,-0.149,-1.046
0.188,0.25,0.562,0.125,0.375,0.312,0.0,0.188,0.25,0.188,0.562,0.312,0.25,0.312,0.0,0.0,0.25,0.375,0.375,0.375,0.375,0.25,0.125,0.625,0.375,0.714,0.166,0.316,-0.287,-0.051
0.125,0.0,0.875,0.312,0.5,0.312,0.0,0.25,0.0,0.125,0.875,0.625,0.188,0.125,0.062,0.125,0.25,0.688,0.062,0.5,0.188,0.312,0.062,0.438,0.562,-1.217,-0.165,-0.279,0.03,-0.536
0.25,0.0,0.75,0.438,0.188,0.188,0.062,0.125,0.0,0.25,0.75,0.312,0.438,0.25,0.188,0.062,0.375,0.312,0.312,0.188,0.312,0.5,0.188,0.438,0.562,0.629,0.448,-0.028,0.175,-0.237
0.188,0.125,0.688,0.125,0.438,0.438,0.062,0.0,0.125,0.188,0.688,0.375,0.375,0.312,0.0,0.0,0.562,0.125,0.312,0.375,0.5,0.188,0.188,0.5,0.5,0.877,-0.242,-0.143,-0.25,0.274
0.062,0.0,0.938,0.0,0.875,0.75,0.0,0.062,0.0,0.062,0.938,0.875,0.125,0.0,0.0,0.062,0.375,0.562,0.062,0.812,0.062,0.125,0.125,0.562,0.438,-2.059,-1.328,-0.726,-0.204,0.098
0.375,0.188,0.438,0.125,0.188,0.125,0.0,0.125,0.188,0.375,0.438,0.125,0.5,0.312,0.0,0.0,0.5,0.188,0.312,0.188,0.5,0.25,0.062,0.375,0.625,1.696,0.854,-0.188,0.249,-0.192
0.0,0.0,1.0,0.125,0.688,0.562,0.0,0.125,0.0,0.0,1.0,0.75,0.188,0.0,0.0,0.125,0.125,0.688,0.188,0.688,0.188,0.125,0.062,0.438,0.562,-1.945,-0.658,-0.367,-0.514,-0.529
0.25,0.188,0.562,0.312,0.188,0.125,0.0,0.188,0.188,0.25,0.562,0.312,0.312,0.312,0.062,0.062,0.438,0.438,0.125,0.25,0.438,0.312,0.062,0.375,0.625,0.727,0.434,-0.108,-0.163,-0.409
0.188,0.062,0.75,0.375,0.375,0.312,0.062,0.125,0.062,0.188,0.75,0.5,0.25,0.312,0.188,0.062,0.438,0.375,0.188,0.25,0.25,0.562,0.125,0.438,0.562,-0.204,-0.142,-0.221,0.084,0.139
0.062,0.0,0.938,0.438,0.438,0.438,0.0,0.062,0.0,0.062,0.938,0.5,0.125,0.5,0.312,0.0,0.312,0.375,0.312,0.438,0.125,0.438,0.438,0.75,0.25,0.631,-1.351,-0.094,-0.591,0.074
0.188,0.125,0.688,0.312,0.375,0.312,0.062,0.125,0.125,0.188,0.688,0.5,0.25,0.312,0.125,0.062,0.438,0.438,0.125,0.375,0.312,0.312,0.188,0.5,0.5,0.259,-0.134,-0.301,-0.076,-0.113
0.25,0.25,0.5,0.25,0.188,0.188,0.062,0.188,0.25,0.25,0.5,0.25,0.375,0.312,0.062,0.0,0.375,0.375,0.25,0.125,0.438,0.5,0.0,0.375,0.625,0.745,0.736,0.108,-0.081,-0.162
0.188,0.188,0.625,0.125,0.438,0.438,0.0,0.0,0.188,0.188,0.625,0.375,0.25,0.375,0.125,0.0,0.438,0.188,0.375,0.438,0.25,0.25,0.25,0.562,0.438,0.751,-0.499,-0.169,-0.44,0.238
0.25,0.375,0.375,0.062,0.188,0.188,0.0,0.062,0.375,0.25,0.375,0.125,0.375,0.438,0.0,0.0,0.625,0.125,0.25,0.188,0.562,0.25,0.125,0.375,0.625,2.031,0.352,0.1,-0.534,-0.232
0.0,0.312,0.688,0.312,0.312,0.312,0.062,0.125,0.312,0.0,0.688,0.438,0.125,0.438,0.062,0.062,0.312,0.375,0.312,0.312,0.5,0.25,0.125,0.562,0.438,0.456,-0.079,0.395,-1.188,-0.051
0.188,0.25,0.562,0.125,0.188,0.188,0.0,0.062,0.25,0.188,0.562,0.062,0.438,0.438,0.062,0.0,0.25,0.125,0.625,0.188,0.562,0.25,0.188,0.688,0.312,2.24,0.308,0.539,-0.598,-0.346
0.125,0.062,0.812,0.438,0.25,0.188,0.0,0.125,0.062,0.125,0.812,0.375,0.25,0.438,0.25,0.062,0.312,0.375,0.312,0.312,0.312,0.375,0.312,0.562,0.438,0.896,-0.191,0.146,-0.321,-0.4
0.0,0.062,0.938,0.25,0.625,0.562,0.0,0.062,0.062,0.0,0.938,0.625,0.062,0.375,0.188,0.062,0.188,0.5,0.312,0.562,0.125,0.312,0.312,0.875,0.125,-0.177,-1.664,-0.188,-0.757,-0.106
0.188,0.25,0.562,0.188,0.25,0.188,0.0,0.062,0.25,0.188,0.562,0.25,0.312,0.438,0.062,0.0,0.375,0.25,0.375,0.25,0.562,0.125,0.062,0.438,0.562,1.296,0.462,-0.225,-0.713,0.055
0.25,0.375,0.375,0.188,0.188,0.188,0.0,0.188,0.375,0.25,0.375,0.125,0.25,0.438,0.0,0.0,0.562,0.25,0.188,0.188,0.438,0.312,0.125,0.312,0.688,1.452,0.531,-0.084,-0.468,-0.168
0.125,0.188,0.688,0.062,0.562,0.438,0.0,0.125,0.188,0.125,0.688,0.562,0.188,0.188,0.0,0.062,0.312,0.5,0.188,0.5,0.312,0.188,0.0,0.438,0.562,-0.822,-0.286,-0.409,-0.437,-0.109
0.312,0.125,0.562,0.125,0.375,0.375,0.062,0.062,0.125,0.312,0.562,0.375,0.438,0.25,0.062,0.0,0.438,0.312,0.25,0.312,0.312,0.312,0.125,0.5,0.5,0.886,-0.016,-0.549,0.15,0.019
0.312,0.25,0.438,0.188,0.188,0.188,0.0,0.062,0.25,0.312,0.438,0.312,0.375,0.312,0.062,0.062,0.375,0.375,0.25,0.25,0.5,0.188,0.062,0.438,0.562,1.227,0.267,-0.371,-0.311,-0.174
0.125,0.312,0.562,0.188,0.312,0.312,0.0,0.062,0.312,0.125,0.562,0.375,0.188,0.438,0.062,0.062,0.438,0.375,0.188,0.375,0.438,0.188,0.188,0.5,0.5,1.031,-0.523,-0.032,-0.945,-0.302
0.0,0.062,0.938,0.25,0.625,0.5,0.062,0.125,0.062,0.0,0.938,0.625,0.125,0.25,0.188,0.062,0.375,0.25,0.375,0.5,0.188,0.375,0.25,0.5,0.5,-1.277,-0.508,0.101,-0.579,0.311
0.125,0.25,0.625,0.375,0.125,0.062,0.0,0.188,0.25,0.125,0.625,0.188,0.25,0.5,0.125,0.062,0.312,0.312,0.375,0.188,0.562,0.25,0.188,0.5,0.5,1.45,0.484,0.303,-0.727,-0.514
0.25,0.25,0.5,0.188,0.25,0.25,0.0,0.062,0.25,0.25,0.5,0.312,0.312,0.312,0.0,0.062,0.562,0.25,0.188,0.312,0.375,0.25,0.062,0.312,0.688,0.823,0.416,-0.098,-0.169,-0.128
0.188,0.312,0.5,0.25,0.188,0.188,0.0,0.062,0.312,0.188,0.5,0.25,0.25,0.5,0.125,0.062,0.312,0.312,0.375,0.25,0.438,0.25,0.188,0.562,0.438,1.656,-0.04,0.135,-0.773,-0.226
0.312,0.188,0.5,0.25,0.188,0.188,0.062,0.0,0.188,0.312,0.5,0.125,0.438,0.5,0.125,0.0,0.625,0.0,0.375,0.125,0.5,0.25,0.25,0.438,0.562,2.342,0.385,-0.485,-0.253,0.257
0.062,0.312,0.625,0.188,0.312,0.188,0.0,0.188,0.312,0.062,0.625,0.25,0.188,0.5,0.062,0.0,0.25,0.25,0.5,0.312,0.5,0.188,0.125,0.5,0.5,0.915,0.489,0.586,-0.954,-0.065
0.188,0.188,0.625,0.312,0.25,0.25,0.125,0.125,0.188,0.188,0.625,0.312,0.375,0.375,0.125,0.0,0.438,0.25,0.312,0.125,0.5,0.5,0.125,0.5,0.5,0.914,0.348,0.186,-0.256,0.15
0.25,0.0,0.75,0.125,0.5,0.5,0.062,0.062,0.0,0.25,0.75,0.562,0.438,0.0,0.0,0.062,0.375,0.438,0.188,0.5,0.25,0.25,0.188,0.562,0.438,-0.099,-0.278,-0.266,0.337,-0.123
0.375,0.312,0.312,0.062,0.25,0.25,0.0,0.062,0.312,0.375,0.312,0.25,0.375,0.312,0.0,0.0,0.625,0.188,0.188,0.25,0.375,0.25,0.0,0.312,0.688,1.164,0.601,-0.548,0.038,0.135
0.062,0.062,0.875,0.25,0.438,0.312,0.0,0.125,0.062,0.062,0.875,0.562,0.25,0.188,0.125,0.125,0.25,0.5,0.25,0.438,0.312,0.25,0.125,0.375,0.625,-0.683,-0.186,-0.132,-0.577,-0.521
0.125,0.062,0.812,0.25,0.438,0.438,0.062,0.125,0.062,0.125,0.812,0.438,0.312,0.25,0.062,0.062,0.375,0.312,0.312,0.438,0.25,0.312,0.375,0.688,0.312,0.768,-0.529,0.312,-0.179,-0.276
0.062,0.375,0.562,0.062,0.438,0.25,0.0,0.062,0.375,0.062,0.562,0.375,0.125,0.438,0.0,0.188,0.5,0.25,0.25,0.25,0.5,0.25,0.062,0.312,0.688,0.396,-0.186,-0.049,-0.889,-0.318
0.125,0.062,0.812,0.125,0.625,0.438,0.0,0.188,0.062,0.125,0.812,0.625,0.188,0.062,0.0,0.125,0.25,0.625,0.125,0.5,0.125,0.375,0.0,0.438,0.562,-1.485,-0.239,-0.298,0.172,-0.361
0.125,0.125,0.75,0.125,0.625,0.5,0.062,0.188,0.125,0.125,0.75,0.562,0.188,0.25,0.062,0.0,0.375,0.312,0.312,0.562,0.188,0.25,0.188,0.5,0.5,-0.769,0.017,-0.086,0.149,0.177
0.062,0.062,0.875,0.25,0.438,0.312,0.0,0.125,0.062,0.062,0.875,0.438,0.25,0.312,0.188,0.062,0.375,0.25,0.375,0.375,0.312,0.312,0.312,0.562,0.438,0.302,-0.367,0.126,-0.586,-0.224
0.062,0.0,0.938,0.562,0.312,0.188,0.0,0.5,0.0,0.062,0.938,0.375,0.125,0.125,0.062,0.062,0.188,0.75,0.062,0.25,0.125,0.625,0.0,0.188,0.812,-1.7,0.912,-0.105,0.011,-0.791
0.25,0.375,0.375,0.125,0.125,0.125,0.0,0.125,0.375,0.25,0.375,0.125,0.375,0.375,0.0,0.0,0.312,0.25,0.438,0.125,0.5,0.312,0.0,0.5,0.5,1.78,1.063,0.407,-0.347,-0.145
0.25,0.188,0.562,0.25,0.25,0.25,0.0,0.0,0.188,0.25,0.562,0.375,0.312,0.5,0.25,0.0,0.375,0.312,0.312,0.25,0.375,0.375,0.188,0.625,0.375,1.506,-0.559,-0.261,-0.422,0.067
0.188,0.312,0.5,0.312,0.125,0.062,0.0,0.25,0.312,0.188,0.5,0.188,0.25,0.438,0.062,0.0,0.438,0.375,0.188,0.125,0.5,0.375,0.0,0.312,0.688,0.978,0.874,0.053,-0.556,-0.323
0.125,0.125,0.75,0.375,0.312,0.25,0.0,0.312,0.125,0.125,0.75,0.312,0.188,0.25,0.062,0.062,0.25,0.562,0.188,0.25,0.25,0.5,0.062,0.375,0.625,-0.433,0.274,-0.144,-0.246,-0.6
0.188,0.25,0.562,0.188,0.312,0.312,0.0,0.125,0.25,0.188,0.562,0.25,0.25,0.375,0.062,0.0,0.188,0.375,0.438,0.312,0.375,0.25,0.125,0.625,0.375,0.934,0.049,-0.058,-0.571,-0.052
0.062,0.125,0.812,0.375,0.375,0.312,0.0,0.188,0.125,0.062,0.812,0.438,0.125,0.438,0.25,0.0,0.188,0.5,0.312,0.375,0.25,0.375,0.25,0.625,0.375,0.164,-0.586,-0.093,-0.859,-0.168
0.125,0.125,0.75,0.312,0.438,0.312,0.0,0.312,0.125,0.125,0.75,0.5,0.125,0.25,0.125,0.0,0.25,0.562,0.188,0.438,0.125,0.375,0.125,0.438,0.562,-0.755,0.227,-0.101,-0.255,-0.1
0.25,0.25,0.5,0.062,0.375,0.375,0.0,0.0,0.25,0.25,0.5,0.312,0.312,0.375,0.0,0.0,0.5,0.188,0.312,0.375,0.438,0.062,0.188,0.562,0.438,1.569,-0.169,-0.449,-0.449,0.222
0.312,0.125,0.562,0.125,0.375,0.312,0.0,0.125,0.125,0.312,0.562,0.312,0.375,0.25,0.0,0.0,0.562,0.25,0.188,0.375,0.312,0.312,0.188,0.375,0.625,0.834,0.207,-0.014,0.431,0.037
0.062,0.0,0.938,0.062,0.625,0.625,0.0,0.062,0.0,0.062,0.938,0.562,0.312,0.062,0.0,0.0,0.25,0.438,0.312,0.625,0.25,0.125,0.25,0.812,0.188,-0.121,-0.942,-0.15,-0.437,-0.259
0.0,0.0,1.0,0.312,0.688,0.438,0.125,0.25,0.0,0.0,1.0,0.75,0.125,0.062,0.0,0.25,0.375,0.5,0.125,0.438,0.188,0.5,0.125,0.375,0.625,-2.139,-0.166,0.252,0.208,-0.225
0.125,0.125,0.75,0.125,0.625,0.438,0.0,0.188,0.125,0.125,0.75,0.688,0.125,0.125,0.0,0.125,0.5,0.438,0.062,0.625,0.25,0.125,0.062,0.188,0.812,-1.801,-0.244,-0.459,-0.293,-0.085
0.25,0.062,0.688,0.188,0.25,0.188,0.0,0.125,0.062,0.25,0.688,0.312,0.5,0.125,0.0,0.125,0.25,0.375,0.375,0.375,0.312,0.312,0.188,0.562,0.438,1.034,0.489,0.822,0.436,-0.804
0.0,0.188,0.812,0.25,0.5,0.375,0.0,0.188,0.188,0.0,0.812,0.625,0.062,0.25,0.062,0.125,0.125,0.688,0.188,0.5,0.25,0.25,0.062,0.5,0.5,-0.992,-0.414,0.001,-0.806,-0.452
0.125,0.125,0.75,0.188,0.562,0.562,0.0,0.188,0.125,0.125,0.75,0.562,0.125,0.125,0.0,0.0,0.312,0.625,0.062,0.562,0.188,0.188,0.125,0.625,0.375,-0.773,-0.701,-0.779,-0.508,-0.082
0.312,0.062,0.625,0.438,0.062,0.062,0.0,0.188,0.062,0.312,0.625,0.188,0.438,0.25,0.125,0.062,0.375,0.375,0.25,0.125,0.312,0.562,0.125,0.375,0.625,1.029,0.877,0.277,0.475,-0.479
0.062,0.188,0.75,0.188,0.438,0.438,0.0,0.188,0.188,0.062,0.75,0.375,0.188,0.25,0.0,0.0,0.312,0.375,0.312,0.438,0.312,0.25,0.125,0.5,0.5,-0.208,-0.085,0.036,-0.699,-0.217
0.125,0.125,0.75,0.312,0.188,0.125,0.0,0.125,0.125,0.125,0.75,0.312,0.375,0.312,0.188,0.062,0.25,0.375,0.375,0.125,0.438,0.438,0.062,0.562,0.438,0.846,0.336,0.046,-0.543,-0.584
0.125,0.188,0.688,0.25,0.25,0.188,0.0,0.25,0.188,0.125,0.688,0.25,0.312,0.312,0.062,0.0,0.25,0.438,0.312,0.25,0.438,0.312,0.062,0.438,0.562,0.537,0.487,0.059,-0.619,-0.609
0.188,0.125,0.688,0.188,0.438,0.438,0.062,0.062,0.125,0.188,0.688,0.25,0.312,0.438,0.062,0.0,0.438,0.125,0.438,0.375,0.375,0.312,0.375,0.625,0.375,1.334,-0.607,0.226,-0.184,0.168
0.188,0.0,0.812,0.25,0.5,0.25,0.062,0.25,0.0,0.188,0.812,0.5,0.312,0.062,0.0,0.188,0.438,0.438,0.125,0.25,0.188,0.625,0.0,0.25,0.75,-1.182,0.614,0.074,0.866,-0.402
0.062,0.188,0.75,0.188,0.5,0.312,0.062,0.188,0.188,0.062,0.75,0.562,0.188,0.188,0.0,0.188,0.25,0.438,0.312,0.375,0.312,0.375,0.125,0.5,0.5,-0.539,0.307,0.667,0.061,-0.288
0.062,0.25,0.688,0.312,0.312,0.125,0.0,0.25,0.25,0.062,0.688,0.438,0.125,0.438,0.125,0.062,0.25,0.438,0.312,0.375,0.438,0.188,0.125,0.438,0.562,0.154,0.648,0.375,-0.512,-0.324
0.25,0.25,0.5,0.375,0.125,0.125,0.0,0.125,0.25,0.25,0.5,0.312,0.25,0.438,0.125,0.062,0.562,0.438,0.0,0.188,0.375,0.375,0.062,0.25,0.75,0.982,0.207,-0.517,-0.411,-0.386
0.188,0.188,0.625,0.375,0.125,0.125,0.0,0.25,0.188,0.188,0.625,0.25,0.312,0.25,0.062,0.062,0.312,0.5,0.188,0.188,0.438,0.375,0.062,0.438,0.562,0.6,0.566,0.019,-0.424,-0.702
0.062,0.0,0.938,0.562,0.312,0.25,0.062,0.312,0.0,0.062,0.938,0.5,0.188,0.188,0.125,0.125,0.25,0.625,0.125,0.25,0.188,0.625,0.125,0.438,0.562,-0.865,0.225,0.196,-0.02,-0.569
0.25,0.188,0.562,0.25,0.25,0.25,0.125,0.125,0.188,0.25,0.562,0.188,0.438,0.375,0.062,0.0,0.438,0.125,0.438,0.125,0.5,0.438,0.188,0.5,0.5,1.431,0.594,0.283,-0.003,0.204
0.438,0.125,0.438,0.25,0.188,0.188,0.062,0.062,0.125,0.438,0.438,0.25,0.5,0.25,0.062,0.125,0.562,0.188,0.25,0.25,0.312,0.25,0.312,0.438,0.562,1.899,0.428,-0.319,0.506,-0.166
0.25,0.25,0.5,0.312,0.125,0.125,0.0,0.188,0.25,0.25,0.5,0.125,0.312,0.375,0.0,0.0,0.562,0.312,0.125,0.125,0.5,0.312,0.0,0.188,0.812,1.032,0.911,-0.479,-0.356,-0.259
0.125,0.188,0.688,0.125,0.375,0.375,0.062,0.0,0.188,0.125,0.688,0.438,0.375,0.312,0.062,0.0,0.312,0.312,0.375,0.312,0.562,0.188,0.062,0.562,0.438,0.737,-0.109,-0.134,-0.727,0.071
0.125,0.125,0.75,0.375,0.25,0.188,0.0,0.188,0.125,0.125,0.75,0.438,0.25,0.188,0.062,0.188,0.188,0.562,0.25,0.438,0.312,0.25,0.25,0.5,0.5,0.199,0.119,0.682,-0.323,-0.791
0.375,0.25,0.375,0.125,0.125,0.125,0.0,0.125,0.25,0.375,0.375,0.125,0.5,0.25,0.0,0.0,0.5,0.25,0.25,0.125,0.562,0.25,0.0,0.25,0.75,1.422,1.007,-0.456,-0.04,-0.231
0.125,0.25,0.625,0.25,0.312,0.312,0.0,0.062,0.25,0.125,0.625,0.375,0.188,0.5,0.125,0.0,0.5,0.312,0.188,0.312,0.438,0.25,0.188,0.5,0.5,1.118,-0.52,-0.283,-0.897,-0.023
0.062,0.25,0.688,0.25,0.188,0.125,0.0,0.125,0.25,0.062,0.688,0.25,0.312,0.375,0.125,0.062,0.25,0.312,0.438,0.125,0.562,0.312,0.062,0.562,0.438,1.088,0.424,0.214,-1.039,-0.534
0.25,0.0,0.75,0.438,0.25,0.188,0.0,0.188,0.0,0.25,0.75,0.438,0.312,0.188,0.125,0.125,0.438,0.5,0.062,0.25,0.125,0.562,0.125,0.375,0.625,0.085,0.303,-0.159,0.543,-0.509
0.188,0.0,0.812,0.5,0.312,0.25,0.062,0.25,0.0,0.188,0.812,0.562,0.25,0.188,0.188,0.125,0.312,0.625,0.062,0.25,0.125,0.688,0.125,0.438,0.562,-0.662,-0.019,-0.015,0.379,-0.418
0.25,0.25,0.5,0.25,0.188,0.188,0.0,0.062,0.25,0.25,0.5,0.25,0.312,0.375,0.0,0.062,0.625,0.25,0.125,0.25,0.5,0.188,0.062,0.25,0.75,1.134,0.42,-0.394,-0.395,-0.188
0.062,0.25,0.688,0.125,0.438,0.375,0.0,0.125,0.25,0.062,0.688,0.438,0.188,0.312,0.0,0.062,0.25,0.375,0.375,0.5,0.375,0.125,0.188,0.625,0.375,0.415,-0.234,0.494,-0.768,-0.243
0.125,0.188,0.688,0.188,0.375,0.375,0.062,0.125,0.188,0.125,0.688,0.375,0.312,0.25,0.062,0.0,0.438,0.188,0.375,0.312,0.375,0.375,0.312,0.688,0.312,1.008,0.089,0.691,-0.28,0.195
0.25,0.0,0.75,0.562,0.125,0.125,0.062,0.062,0.0,0.25,0.75,0.375,0.375,0.5,0.438,0.0,0.312,0.375,0.312,0.062,0.25,0.75,0.188,0.562,0.438,1.036,-0.131,-0.161,0.037,0.052
